STT,Stock Code,Organization Name,Sector,First Trading Date,Listing Volume,Stock Volume
157,NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,Vận tải kho bãi,27/3/2018,21.517.200,21.517.200
158,NBC,CTCP Than Núi Béo - Vinacomin,Khai khoáng và Dầu khí,27/12/2006,36.999.124,36.999.124
159,NBP,Công ty cổ phần  Nhiệt điện Ninh Bình,Công nghiệp,6/8/2009,12.865.500,12.865.500
160,NBW,CTCP Cấp nước Nhà Bè,Công nghiệp,14/11/2017,10.900.000,10.900.000
161,NDN,CTCP Đầu tư phát triển Nhà Đà Nẵng,Hoạt động kinh doanh bất động sản,21/4/2011,71.657.936,71.657.936
162,NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng,Xây dựng,17/7/2013,9.987.557,9.587.557
163,NET,Công ty Cổ Phần Bột Giặt NET,Công nghiệp,15/9/2010,22.398.374,22.398.374
164,NFC,CTCP Phân lân Ninh Bình,Công nghiệp,3/3/2014,15.731.260,15.731.260
165,NHC,CTCP Gạch ngói Nhị Hiệp,Công nghiệp,17/6/2009,3.041.542,3.041.542
166,NRC,CTCP Tập đoàn Danh Khôi,Hoạt động kinh doanh bất động sản,5/4/2018,92.597.762,92.597.762
167,NSH,CTCP Tập đoàn Nhôm Sông Hồng Shalumi,Công nghiệp,31/7/2017,20.693.437,20.693.437
168,NST,CTCP Ngân Sơn,Công nghiệp,29/12/2006,11.202.003,11.202.003
169,NTH,CTCP Thủy điện Nước Trong,Công nghiệp,19/6/2019,10.802.053,10.802.053
170,NTP,CTCP Nhựa Thiếu niên- Tiền Phong,Công nghiệp,11/12/2006,129.575.334,129.575.334
171,NVB,Ngân hàng TMCP Quốc Dân,Tài chính,13/9/2010,560.155.587,556.803.587
172,OCH,CTCP One Capital Hospitality,"Thương mại và dịch vụ lưu trú, ăn uống",1/10/2010,200.000.000,200.000.000
173,ONE,CTCP Truyền thông số 1,"Thông tin, truyền thông và các hoạt động khác",24/6/2008,7.960.310,7.893.658
174,PBP,CTCP Bao bì Dầu khí Việt Nam,Công nghiệp,27/1/2015,4.799.516,4.799.516
175,PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung,Công nghiệp,23/7/2015,10.000.000,10.000.000
176,PCG,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,"Thương mại và dịch vụ lưu trú, ăn uống",29/12/2010,18.870.000,18.870.000
177,PCH,CTCP Nhựa Picomat,Công nghiệp,28/7/2022,20.000.000,20.000.000
178,PCT,CTCP Vận tải Khí vá Hóa chât Việt Nam,Vận tải kho bãi,12/9/2011,27.599.896,27.599.896
179,PDB,CTCP Tập đoàn Đầu tư DIN Capital,Công nghiệp,3/8/2015,8.909.981,8.909.981
180,PEN,CTCP Xây lắp III Petrolimex,Khai khoáng và Dầu khí,25/9/2014,5.000.000,5.000.000
181,PGN,Công ty cổ phần Phụ Gia Nhựa,Công nghiệp,4/7/2019,8.450.940,8.450.940
182,PGS,CTCP Kinh doanh Khí miền Nam,"Thương mại và dịch vụ lưu trú, ăn uống",15/11/2007,50.000.000,49.998.794
183,PGT,CTCP PGT Holdings,Vận tải kho bãi,25/12/2009,9.241.801,9.241.801
184,PHN,CTCP Pin Hà Nội,,13/3/2019,7.253.911,7.253.911
185,PIA,CTCP Tin học Viễn thông Petrolimex,"Thông tin, truyền thông và các hoạt động khác",6/9/2019,3.900.000,3.900.000
186,PIC,CTCP Đầu tư Điện lực 3,Xây dựng,9/1/2017,33.339.891,33.339.891
187,PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội,"Thương mại và dịch vụ lưu trú, ăn uống",25/12/2006,7.326.928,7.326.861
188,PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,Khai khoáng và Dầu khí,27/12/2006,80.798.839,80.797.566
